Modelo,P@5,R@5,MRR@5,nDCG@5
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.064,0.025284715284715285,0.16733333333333333,0.07068658551855952
bert-base-portuguese-cased-finetuned-tcu-acordaos_cls,0.08800000000000002,0.03296237096237096,0.18966666666666665,0.08735419179221288
bert-base-portuguese-cased_mean,0.068,0.02697202797202797,0.1656666666666667,0.07260739701989362
bert-base-portuguese-cased_cls,0.04,0.014624042624042625,0.09066666666666666,0.041184152492819565
bert-large-portuguese-cased_mean,0.084,0.03590276390276391,0.17799999999999996,0.08847517271514099
bert-large-portuguese-cased_cls,0.044000000000000004,0.01730902430902431,0.13333333333333333,0.05187788796731753
Legal-BERTimbau-sts-large-ma-v3_mean,0.128,0.05232167832167832,0.26899999999999996,0.131622065271547
Legal-BERTimbau-sts-large-ma-v3_cls,0.044000000000000004,0.016276057276057278,0.13,0.05285871941442716
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.24400000000000002,0.09830669330669331,0.4046666666666667,0.24188218948821136
bert-large-portuguese-cased-legal-mlm-sts-v1.0_cls,0.14400000000000002,0.0597046287046287,0.24333333333333335,0.1420887080928676
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_mean,0.23600000000000002,0.09840459540459541,0.377,0.23077149974761454
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_cls,0.20800000000000002,0.0871908091908092,0.3746666666666667,0.2068004848298821
paraphrase-multilingual-mpnet-base-v2_mean,0.188,0.07528871128871127,0.33366666666666667,0.18171195532112538
paraphrase-multilingual-mpnet-base-v2_cls,0.128,0.051773892773892764,0.309,0.13115245687952762
bm25_padrao,0.272,0.11063636363636363,0.5253333333333333,0.282378722018473
