Modelo,P@5,R@5,MRR@5,nDCG@5
bm25_padrao,0.52,0.23401787101787103,0.915,0.6030062029006013
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.29600000000000004,0.13329032079032077,0.5996666666666666,0.3392031006726436
bert-large-portuguese-cased_mean,0.29600000000000004,0.13255139305139307,0.5983333333333334,0.32872752164688857
Legal-BERTimbau-sts-large-ma-v3_mean,0.236,0.10603113553113554,0.47233333333333327,0.2599390064954651
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.468,0.20848967698967702,0.8646666666666667,0.5282911698458698
paraphrase-multilingual-mpnet-base-v2_mean,0.496,0.21919613719613718,0.7823333333333332,0.5350545360560309
text-embedding-3-small_mean,0.6240000000000001,0.27752763902763905,0.9133333333333333,0.675243005147305
text-embedding-3-large_mean,0.632,0.2774099789099789,0.9146666666666667,0.688218477743831
