Modelo,P@5,R@5,MRR@5,nDCG@5
bm25_padrao,0.5000000000000001,0.20771883671883676,0.8619999999999999,0.5712789256488999
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.14400000000000002,0.06094694194694195,0.35133333333333333,0.15216215672996403
bert-large-portuguese-cased_mean,0.19599999999999998,0.08375235875235874,0.39966666666666667,0.20514593136480194
Legal-BERTimbau-sts-large-ma-v3_mean,0.22400000000000003,0.09248817848817849,0.44966666666666666,0.23473867101808044
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.41999999999999993,0.1726194916194916,0.7016666666666665,0.43969458518685706
paraphrase-multilingual-mpnet-base-v2_mean,0.33199999999999996,0.13453712953712954,0.595,0.34552631032981684
text-embedding-3-small_mean,0.604,0.25078144078144077,0.8906666666666666,0.6484190666454656
text-embedding-3-large_mean,0.6480000000000001,0.2691956931956932,0.889,0.680321797646688
