Modelo,P@10,R@10,MRR@10,nDCG@10
bm25_padrao,0.38799999999999996,0.34506171606171604,0.9175,0.532786548457365
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.20199999999999999,0.17949311799311804,0.6083333333333333,0.28810273830930416
bert-large-portuguese-cased_mean,0.22200000000000003,0.1964138639138639,0.607,0.28926419766726635
Legal-BERTimbau-sts-large-ma-v3_mean,0.182,0.16114935064935065,0.4921031746031746,0.2338400158288654
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.34800000000000003,0.306480796980797,0.8675238095238095,0.4603374184996576
paraphrase-multilingual-mpnet-base-v2_mean,0.344,0.30471911421911424,0.7918571428571428,0.4519141207919397
text-embedding-3-small_mean,0.482,0.4246528471528471,0.9166666666666665,0.6089131574387858
text-embedding-3-large_mean,0.47200000000000003,0.415023976023976,0.9146666666666667,0.6083688053853558
