Modelo,P@10,R@10,MRR@10,nDCG@10
bm25_padrao,0.23800000000000002,0.19656909756909757,0.5386269841269841,0.27529822424527817
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.044000000000000004,0.035426573426573425,0.17352380952380955,0.05601700648705675
bert-large-portuguese-cased_mean,0.07400000000000001,0.06248185148185149,0.19876984126984126,0.08327467806681899
Legal-BERTimbau-sts-large-ma-v3_mean,0.10800000000000001,0.08803929403929404,0.2877460317460317,0.12137911748087127
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.20199999999999999,0.16315118215118216,0.42399206349206353,0.2260921426722422
paraphrase-multilingual-mpnet-base-v2_mean,0.146,0.11637862137862137,0.35124603174603175,0.16081067142106142
text-embedding-3-small_mean,0.37800000000000006,0.30686147186147184,0.7488888888888888,0.44543439999121304
text-embedding-3-large_mean,0.40800000000000003,0.3319443889443889,0.7543333333333332,0.4733292531916256
