Modelo,P@5,R@5,MRR@5,nDCG@5
bm25_padrao,0.272,0.11063636363636363,0.5253333333333333,0.282378722018473
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.064,0.025284715284715285,0.16733333333333333,0.07068658551855952
bert-large-portuguese-cased_mean,0.084,0.03590276390276391,0.17799999999999996,0.08847517271514099
Legal-BERTimbau-sts-large-ma-v3_mean,0.128,0.05232167832167832,0.26899999999999996,0.131622065271547
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.24400000000000002,0.09830669330669331,0.4046666666666667,0.24188218948821136
paraphrase-multilingual-mpnet-base-v2_mean,0.188,0.07528871128871127,0.33366666666666667,0.18171195532112538
text-embedding-3-small_mean,0.52,0.20905627705627705,0.7433333333333333,0.5227750913975007
text-embedding-3-large_mean,0.532,0.2163746253746254,0.7523333333333332,0.5351116269600609
